Page #;Overall Ranking;Solution;Sector;Link to Writeup, References, and Errata;Tech Assessment;Total Atmospheric CO2-EQ Reduction (GT);NET COST (BILLIONS US $);SAVINGS (BILLIONS US $);Article Page Name
_page;_rank;_solution;_sector;_link;_link_assessment;_gt;_cost;_savings;_page_name
198;;Hyperloop;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/hyperloop;;;;;Hyperloop
196;;Smart Highways;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/smart-highways;;;;;Smart Highways
182;;Artificial Leaf;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/artificial-leaf;;;;;Artificial Leaf
202;;Industrial Hemp;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/industrial-hemp;;;;;Industrial Hemp
181;;Intensive Silvopasture;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/intensive-silvopasture;;;;;Intensive Silvopasture
204;;A Cow Walks Onto A Beach;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/cow-walks-beach;;;;;A Cow Walks Onto A Beach
172;;Repopulating the Mammoth Steppe;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/repopulating-mammoth-steppe;;;;;Repopulating the Mammoth Steppe
175;;Pasture Cropping;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/pasture-cropping;;;;;Pasture Cropping
176;;Enhanced Wathering of Minerals;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/enhanced-weathering-minerals;;;;;Enhanced Wathering of Minerals
178;;Marine Permaculture;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/marine-permaculture;;;;;Marine Permaculture
184;;Autonomous Vehicles;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/autonomous-vehicles;;;;;Autonomous Vehicles
187;;Solid State Wave Energy;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/solid-state-wave-energy;;;;;Solid State Wave Energy
188;;Living Buildings;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/living-buildings;;;;;Living Buildings
192;;Direct Air Caputre;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/direct-air-capture;;;;;Direct Air Caputre
194;;Hydrogen Boron Fusion;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/hydrogen-boron-fusion;;;;;Hydrogen Boron Fusion
200;;Microbial Farming;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/microbial-farming;;;;;Microbial Farming
206;;Ocean Farming;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/ocean-farming;;;;;Ocean Farming
209;;Smart Grids;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/smart-grids;;;;;Smart Grids
210;;Building with Wood;Coming attractions;http://www.drawdown.org/solutions/coming-attractions/building-wood;;;;;Building with Wood
